representation,model,checkpoint_seed,task_id,metric_scope,region_id,receiver,horizon,count,n_origins,mae_db,rmse_db,source_file,source_key,status
2d,autoformer_csa,41,new-site-cosmos-600-800,target_vector,all,,15,,,0.4599782228469848,1.106492042541504,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-cosmos-600-800,target_vector,all,,60,,,0.472378522157669,1.1274508237838743,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-aerpaw-2400-2600,target_vector,all,,1,,,1.0261280536651611,1.779802680015564,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-aerpaw-2400-2600,target_vector,all,,15,,,1.0409297943115234,1.8206700086593628,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-aerpaw-2400-2600,target_vector,all,,60,,,1.102963089942932,1.9114911556243896,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-ara-2400-2600,target_vector,all,,1,,,1.4734352827072144,2.550032377243042,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-ara-2400-2600,target_vector,all,,15,,,1.523318648338318,2.6283812522888184,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-ara-2400-2600,target_vector,all,,60,,,1.658069133758545,2.832981824874878,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-cosmos-2400-2600,target_vector,all,,1,,,0.1218356937170028,0.2745757102966308,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-cosmos-2400-2600,target_vector,all,,15,,,0.0876377075910568,0.2416666448116302,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-new-band-cosmos-2400-2600,target_vector,all,,60,,,0.1042491793632507,0.2528883814811706,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,reference-powder-600-800,target_vector,all,,1,,,0.8442041277885437,1.7736084461212158,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,reference-powder-600-800,target_vector,all,,15,,,0.8855582475662231,1.838818073272705,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,reference-powder-600-800,target_vector,all,,60,,,0.998478353023529,2.0056283473968506,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-2400-2600,target_vector,all,,1,,,0.6070862412452698,1.3004167079925537,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-2400-2600,target_vector,all,,15,,,0.6325283050537109,1.4140644073486328,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-2400-2600,target_vector,all,,60,,,0.8453342318534851,1.7868168354034424,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-3500-3700,target_vector,all,,1,,,0.1793504655361175,0.3333063423633575,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-3500-3700,target_vector,all,,15,,,0.1486419737339019,0.2973811030387878,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-3500-3700,target_vector,all,,60,,,0.2136740386486053,0.3783316016197204,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-5725-5925,target_vector,all,,1,,,0.1512111872434616,0.2562555074691772,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-5725-5925,target_vector,all,,15,,,0.1241598650813102,0.2197949886322021,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-5725-5925,target_vector,all,,60,,,0.1892541646957397,0.3124217391014099,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-800-1000,target_vector,all,,1,,,0.7267450094223022,2.2085835933685303,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-800-1000,target_vector,all,,15,,,0.698978841304779,2.27688217163086,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-bands-powder-800-1000,target_vector,all,,60,,,0.8260040283203125,2.41145920753479,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-point-powder-600-800,target_vector,all,,1,,,0.975077986717224,1.8200602531433103,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-point-powder-600-800,target_vector,all,,15,,,1.0064579248428345,1.8679457902908323,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-point-powder-600-800,target_vector,all,,60,,,1.1260322332382202,2.04041600227356,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-aerpaw-600-800,target_vector,all,,1,,,1.1877995729446411,1.988497495651245,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-aerpaw-600-800,target_vector,all,,15,,,1.2321393489837646,2.079054832458496,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-aerpaw-600-800,target_vector,all,,60,,,1.4404656887054443,2.3497469425201416,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-ara-600-800,target_vector,all,,1,,,1.757668375968933,2.9835774898529053,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-ara-600-800,target_vector,all,,15,,,1.8049670457839968,3.136061191558838,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-ara-600-800,target_vector,all,,60,,,1.9929099082946773,3.557446241378784,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-cosmos-600-800,target_vector,all,,1,,,0.4624086618423462,1.0902462005615234,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-cosmos-600-800,target_vector,all,,15,,,0.4340077936649322,1.087840557098389,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-cosmos-600-800,target_vector,all,,60,,,0.4713606834411621,1.1242238283157349,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-aerpaw-2400-2600,target_vector,all,,1,,,1.0598691701889038,1.82196307182312,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-aerpaw-2400-2600,target_vector,all,,15,,,1.0333032608032229,1.81158185005188,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-aerpaw-2400-2600,target_vector,all,,60,,,1.166826844215393,1.968820333480835,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-ara-2400-2600,target_vector,all,,1,,,1.5067447423934937,2.565553665161133,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-ara-2400-2600,target_vector,all,,15,,,1.5079337358474731,2.6209847927093506,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-ara-2400-2600,target_vector,all,,60,,,1.7186758518218994,2.859131336212158,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-cosmos-2400-2600,target_vector,all,,1,,,0.1225250959396362,0.270294725894928,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-cosmos-2400-2600,target_vector,all,,15,,,0.1088405773043632,0.2566750049591064,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,new-site-new-band-cosmos-2400-2600,target_vector,all,,60,,,0.1514258384704589,0.298331469297409,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,reference-powder-600-800,target_vector,all,,1,,,0.8554284572601318,1.7855240106582642,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,reference-powder-600-800,target_vector,all,,15,,,0.8859457969665527,1.8391443490982056,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,42,reference-powder-600-800,target_vector,all,,60,,,0.9935885071754456,1.997281551361084,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-2400-2600,target_vector,all,,1,,,0.6165518164634705,1.3073731660842896,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-2400-2600,target_vector,all,,15,,,0.6251102685928345,1.412913203239441,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-2400-2600,target_vector,all,,60,,,0.8377370834350586,1.8006175756454468,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-3500-3700,target_vector,all,,1,,,0.1262833774089813,0.2790341377258301,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-3500-3700,target_vector,all,,15,,,0.1206345334649086,0.270514965057373,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-3500-3700,target_vector,all,,60,,,0.1199948415160179,0.2780013084411621,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-5725-5925,target_vector,all,,1,,,0.0961091592907905,0.1870869249105453,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-5725-5925,target_vector,all,,15,,,0.094612032175064,0.1842343807220459,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-5725-5925,target_vector,all,,60,,,0.0899877622723579,0.1758233904838562,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-800-1000,target_vector,all,,1,,,0.8303601741790771,2.246189594268799,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-800-1000,target_vector,all,,15,,,0.7352936267852783,2.2846291065216064,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-bands-powder-800-1000,target_vector,all,,60,,,0.9356266260147096,2.45312237739563,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-point-powder-600-800,target_vector,all,,1,,,0.9646937251091005,1.8030099868774407,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-point-powder-600-800,target_vector,all,,15,,,1.0087971687316897,1.8663917779922483,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-point-powder-600-800,target_vector,all,,60,,,1.1491141319274902,2.0717556476593018,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-aerpaw-600-800,target_vector,all,,1,,,1.2024070024490356,1.99564528465271,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-aerpaw-600-800,target_vector,all,,15,,,1.2421284914016724,2.084195375442505,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-aerpaw-600-800,target_vector,all,,60,,,1.466861367225647,2.375115871429444,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-ara-600-800,target_vector,all,,1,,,1.7729296684265137,2.988738775253296,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-ara-600-800,target_vector,all,,15,,,1.8161349296569824,3.139293670654297,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-ara-600-800,target_vector,all,,60,,,2.027274370193481,3.5779874324798584,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-cosmos-600-800,target_vector,all,,1,,,0.4898539185523987,1.104802131652832,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-cosmos-600-800,target_vector,all,,15,,,0.4380503892898559,1.087475061416626,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-cosmos-600-800,target_vector,all,,60,,,0.523036777973175,1.160698175430298,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-aerpaw-2400-2600,target_vector,all,,1,,,1.0540908575057983,1.8067203760147093,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-aerpaw-2400-2600,target_vector,all,,15,,,1.0397670269012451,1.8180261850357056,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-aerpaw-2400-2600,target_vector,all,,60,,,1.1542965173721311,1.956892013549805,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-ara-2400-2600,target_vector,all,,1,,,1.5215680599212646,2.574826240539551,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-ara-2400-2600,target_vector,all,,15,,,1.5131524801254272,2.625141859054565,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-ara-2400-2600,target_vector,all,,60,,,1.7299070358276367,2.872278213500977,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-cosmos-2400-2600,target_vector,all,,1,,,0.0915246680378913,0.2471800446510315,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-cosmos-2400-2600,target_vector,all,,15,,,0.0846039205789566,0.2402357012033462,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,new-site-new-band-cosmos-2400-2600,target_vector,all,,60,,,0.1038353592157363,0.2543753385543823,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,reference-powder-600-800,target_vector,all,,1,,,0.8494154214859009,1.7757327556610107,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,reference-powder-600-800,target_vector,all,,15,,,0.8921973705291748,1.8393843173980715,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,43,reference-powder-600-800,target_vector,all,,60,,,1.002159595489502,2.008674144744873,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,44,new-bands-powder-2400-2600,target_vector,all,,1,,,0.5843244194984436,1.287870168685913,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,44,new-bands-powder-2400-2600,target_vector,all,,15,,,0.6414000391960144,1.4181361198425293,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,44,new-bands-powder-2400-2600,target_vector,all,,60,,,0.8056828379631042,1.784974217414856,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,44,new-bands-powder-3500-3700,target_vector,all,,1,,,0.1416610777378082,0.2972584962844848,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
