model,seed,chunk_id,bin_mhz,site,split,horizon,mae_db,rmse_db
autoformer_csa,40,powder_600_800_t4t6,734.5,unknown,2d_test,1,0.8598524928092957,1.1837764978408811
autoformer_csa,40,powder_600_800_t4t6,735.5,unknown,2d_test,1,0.9943009614944458,1.3577795028686523
autoformer_csa,40,powder_600_800_t4t6,736.5,unknown,2d_test,1,1.134475827217102,1.54981791973114
autoformer_csa,40,powder_600_800_t4t6,737.5,unknown,2d_test,1,1.0840338468551636,1.48047935962677
autoformer_csa,40,powder_600_800_t4t6,738.5,unknown,2d_test,1,0.7681471705436707,1.08025062084198
autoformer_csa,40,powder_600_800_t4t6,739.5,unknown,2d_test,1,0.7552960515022278,1.0624412298202517
autoformer_csa,40,powder_600_800_t4t6,740.5,unknown,2d_test,1,1.038241624832153,1.4218313694000244
autoformer_csa,40,powder_600_800_t4t6,741.5,unknown,2d_test,1,1.0339503288269043,1.437577486038208
autoformer_csa,40,powder_600_800_t4t6,742.5,unknown,2d_test,1,0.9886446595191956,1.3619338274002075
autoformer_csa,40,powder_600_800_t4t6,743.5,unknown,2d_test,1,0.9474393725395204,1.3246362209320068
autoformer_csa,40,powder_600_800_t4t6,744.5,unknown,2d_test,1,0.2389511317014694,0.5135682821273804
autoformer_csa,40,powder_600_800_t4t6,745.5,unknown,2d_test,1,0.2090591788291931,0.4315833747386932
autoformer_csa,40,powder_600_800_t4t6,746.5,unknown,2d_test,1,0.5969081521034241,0.8862587809562683
autoformer_csa,40,powder_600_800_t4t6,747.5,unknown,2d_test,1,1.4197369813919067,1.957646608352661
autoformer_csa,40,powder_600_800_t4t6,748.5,unknown,2d_test,1,1.4674659967422483,2.018456220626831
autoformer_csa,40,powder_600_800_t4t6,749.5,unknown,2d_test,1,1.5376032590866089,2.158487558364868
autoformer_csa,40,powder_600_800_t4t6,750.5,unknown,2d_test,1,1.3718019723892212,1.978121399879456
autoformer_csa,40,powder_600_800_t4t6,751.5,unknown,2d_test,1,1.333327054977417,1.9024649858474727
autoformer_csa,40,powder_600_800_t4t6,752.5,unknown,2d_test,1,1.413525104522705,1.975855827331543
autoformer_csa,40,powder_600_800_t4t6,753.5,unknown,2d_test,1,1.4759750366210938,2.115436315536499
autoformer_csa,40,powder_600_800_t4t6,754.5,unknown,2d_test,1,1.4731299877166748,2.059203624725342
autoformer_csa,40,powder_600_800_t4t6,755.5,unknown,2d_test,1,1.489917874336243,2.0776519775390625
autoformer_csa,40,powder_600_800_t4t6,756.5,unknown,2d_test,1,0.1201657652854919,0.2169154286384582
autoformer_csa,40,powder_600_800_t4t6,757.5,unknown,2d_test,1,0.0958438366651535,0.1714008599519729
autoformer_csa,40,powder_600_800_t4t6,758.5,unknown,2d_test,1,1.0669078826904297,1.540134310722351
autoformer_csa,40,powder_600_800_t4t6,759.5,unknown,2d_test,1,0.996329426765442,1.426926612854004
autoformer_csa,40,powder_600_800_t4t6,760.5,unknown,2d_test,1,1.0298300981521606,1.512294888496399
