model_name,seed,condition,band_id,start_mhz,end_mhz,objective,objective_name,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_rmse_db_t1,test_mae_db_t15,test_rmse_db_t15,test_mae_db_t60,test_rmse_db_t60,test_n_values_t1,test_n_values_t15,test_n_values_t60
residuallinearar2d,41,region_only,R11,741.5,745.5,0.8579770292823875,val_mean_horizon_mae_db,0.6928693625006996,1.1379052456928465,0.6382883633409819,1.0467309893172563,0.6893466581428774,1.130551596588708,0.7509730660182394,1.2364331511725748,108885,108885,108885
residuallinearar2d,42,region_only,R11,741.5,745.5,0.8560321380637053,val_mean_horizon_mae_db,0.6917059411328301,1.1389447809976134,0.6374503002244699,1.0468956059588654,0.6879658098330745,1.1311565085335618,0.749701713340946,1.2387822285004129,108885,108885,108885
residuallinearar2d,43,region_only,R11,741.5,745.5,0.8587519877271181,val_mean_horizon_mae_db,0.6942988051640621,1.138035741069906,0.6393085843916684,1.0478081631746081,0.6907226327770959,1.1309353439055274,0.7528651983234219,1.2353637161295827,108885,108885,108885
residuallinearar2d,44,region_only,R11,741.5,745.5,0.8596865411823077,val_mean_horizon_mae_db,0.6960204558451252,1.1367376080409255,0.6393934628334716,1.0468449276658713,0.6921381657010909,1.1292531502947136,0.7565297390008129,1.2341147461621915,108885,108885,108885
residuallinearar2d,40,full_context,R12,746.5,755.5,1.3695253417593987,val_mean_horizon_mae_db,1.3681180477952501,1.9913714792558193,1.2705129246182496,1.868513554521129,1.368536275774398,1.993912656804421,1.4653049429931024,2.1116882264419083,217770,217770,217770
residuallinearar2d,41,full_context,R12,746.5,755.5,1.3700825342368776,val_mean_horizon_mae_db,1.3693783642020196,1.9858847571062004,1.2693580885643352,1.8654703404701278,1.3704786121371737,1.9886190192775892,1.4682983919045494,2.1035649115708837,217770,217770,217770
residuallinearar2d,42,full_context,R12,746.5,755.5,1.368598057165089,val_mean_horizon_mae_db,1.3666624926237627,1.987777880531592,1.2683204249036801,1.8663646781583894,1.367978078552518,1.990711207470589,1.4636889744150894,2.1062577559657982,217770,217770,217770
residuallinearar2d,43,full_context,R12,746.5,755.5,1.3733390381362482,val_mean_horizon_mae_db,1.3742152167089887,1.9879077147915147,1.2715895878785284,1.8662745260120428,1.3740804157326272,1.9907997460463733,1.4769756465158104,2.1066488723161276,217770,217770,217770
residuallinearar2d,44,full_context,R12,746.5,755.5,1.3731152571624339,val_mean_horizon_mae_db,1.3746499270694768,1.989728292170705,1.2722640791516082,1.868371852030697,1.3753839141317388,1.9939516495217888,1.476301787925083,2.106861374959629,217770,217770,217770
residuallinearar2d,40,region_only,R12,746.5,755.5,1.3695253417593987,val_mean_horizon_mae_db,1.3681180477952501,1.9913714792558193,1.2705129246182496,1.868513554521129,1.368536275774398,1.993912656804421,1.4653049429931024,2.1116882264419083,217770,217770,217770
